box-img href,box-img src,name,level,detail,date,description,refcount
https://www.books.com.tw/booksComment/memberComment/AaOTethExg,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,kate_reading_note,Lv.2,5,2025/07/25,這不是一本教你如何當個「更受歡迎的人」的書。相反地，它甚至可能讓你變得沒那麼討喜——但更真實。這本書以一來一往的對話形式展開，猶如2500年前蘇格拉底式對話，從提問與思考之中得出自己的智慧，透由哲學家與年輕人的討論，沒有艱澀的理論，有的是一連串貼近生活的叩問：你為什麼總是在意別人的眼光？為什麼總是活得綁手綁腳？你真的有勇氣，為自己而活嗎？我喜歡它把「自由」和「責任」這件事講得這麼直白卻真誠。什麼是課題分離？簡單說，就是把「別人的人生交還給別人」，你只需要為自己的人生負責。說起來容易，做起來很難，但一旦練習久了，真的會輕盈很多。書裡沒有大聲鼓吹「你就是最棒的」，也不會告訴你怎麼當個更圓融、更好相處的人。它的意思比較像是：「你可以選擇忠於你自己，即使因此不被所有人喜歡。」這樣的訊息，在這個強調人際和諧與成就的社會裡，其實非常難得。也可能讓人不太舒服。但正因如此，它相當值得一讀——甚至重讀。推薦這本書，給正在懷疑自己、也許總想討好所有人、又不甘心這樣過一輩子的你。不是為了改變什麼，而是為了開始更清楚地看見：你，其實一直都有選擇的勇氣。,5
https://www.books.com.tw/booksComment/memberComment/FSRRMTaz8X,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,Halsey,Lv.1,5,2025/05/27,剛收到媽媽從台灣寄到加拿大來給我，讀差不多一半，感到『我怎麼會到這個時候才讀它！』讀的同時，腦海裡浮現許多人的面孔，讓我了解到『對！他們就是這樣的人』及往後我該用什麼樣的態度，說話方式與他們相處。非常值得推薦！,3
https://www.books.com.tw/booksComment/memberComment/xxx5450884,https://im2.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/booksCommentAvatar/avatars_160x160_readingDay_A.png&v=661e1e7dk&w=80&h=80,田羽心,Lv.6,3.5,2025/05/12,看似心靈雞湯，但是狠狠的點醒夢中人，不願意改變，只想坐守在舒適圈安逸度日，藉故推託怪罪，不如即刻動念，客觀事實無法改變，就只能藉由轉化主觀感受詮釋。藉由哲學家與年輕人的對話，緩和了說教傳道的口氣，在辯證的過程中，曾幾何時我們也成為年輕人不斷質疑大師開示的種種疑點，哲學家循循善誘、娓娓道來，既沒有先入為主的想法，更沒有宗教洗腦的灌入，是可以確實激發內心改變的動力的一部作品。在人生不同階段，可能生理或心理受傷生病時，可以稍稍有多元的思考供參。,4
https://www.books.com.tw/booksComment/memberComment/4rDIo7bY9z,https://im2.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/2024/01/person_05g.png&v=65a0fdcek&w=80&h=80,荌芝,Lv.2,5,2025/04/29,第一次接觸阿德勒心理學，書中的「活在當下」讓我聯想到禪修中的正念，兩者皆著重於擺脫過去和未來的束縛，專注當下。此外，「目的論」與「課題分離」不僅與我的生活哲學契合，更以系統性的方式幫助我理清思路。書中提出了許多顛覆傳統社會價值觀的理論，即使未必所有人會全然認同阿德勒心理學，我認為仍值得以開放的態度去了解，從中定能獲得啟發。,3
https://www.books.com.tw/booksComment/memberComment/cvo39S3cuX,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,波波夫妮,Lv.6,4,2025/04/09,用對話的方式來解釋阿德勒，讓人覺得是一個簡單明瞭的作法，同時也不會顯得枯燥乏味，太多的學術內容與解說，會使人頭昏腦脹，無法記得太多資訊。不需要花太多時間就能解決一本書，同時也能吸收到書中知識，蠻不錯的！輕鬆易懂，是一本心理學派的入門書，如果想要多瞭解，自然可以再深入研究其他相關書籍。而也透過這本書瞭解了！原來有些煩惱只需要課題分離，就能解決，就不會讓自己焦躁在有些無謂的地方、蠻不錯的！,2
https://www.books.com.tw/booksComment/memberComment/i1WQCWBrOv,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,來去一陣風,Lv.1,1,2025/04/04,以前讀的時候，覺得哇，說得好有道理，但年紀大了之後，經歷過更多事，目的論這個說法，我是覺得禁不起驗證，課題分離的部分依然是很值得取用的，但這本書只有比較表層的談了一些而已，讀完內容可以大概的、依樣畫葫蘆的做，但不會知道為何而做。,5
https://www.books.com.tw/booksComment/memberComment/SHgxzHVllK,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,塔妮雅,Lv.6,5,2025/03/25,自從在閱讀過程中，發現自己有嚴重的「討好型人格」後，就覺得得要找時間，好好拜讀一下，岸見一郎和古賀史健所合著的《被討厭的勇氣》。岸見一郎是日本的哲學家。除了專攻西洋古代哲學外，也研究阿德勒心理學，同時也是日本阿德勒心理學會認定的諮商師與顧問。《被討厭的勇氣》透過哲學家與年輕人的對話，以阿德勒心理學的角度，探討大量的哲學議題。以下與大家分享，書中的三個核心概念：❤️阿德勒心理學～目的論阿德勒與佛洛伊德、榮格，同為心理學三巨頭之一，但鮮少被人提及。阿德勒出生於維也納，是一位醫師、心理學家、兒童教育家，也是「個體心理學」的創始人。眾所周知的佛洛伊德，主張「決定論」，認為人會受到過去經驗的影響，讓生命顯得窒礙困難。也就是過去所發生的事情，決定了現在和未來的自己，而且無法改變。相反地，阿德勒否定心理創傷的論點，他相信，人的一切行為都有目的。人們是因為先有「目的」，而決定現在的行為。比如：人們會因為想要生氣，而找到適當發洩情緒的人。因為，憤怒其實是可以收放自如的「工具」。像母親正在罵孩子時，若接到學校老師的電話，媽媽的聲音，立刻就變得溫和而有禮貌。而在掛完電話後，媽媽立刻又變臉，繼續罵孩子。阿德勒主張「人是可以改變的」，他認為，決定自我的不是「經驗本身」，而是「賦予經驗的意義」。他並不否定過去事實對人格的影響，而是同樣發生某些事件，未必都會有相同的結果。問題不在「經歷過什麼事」，而是你「如何去解釋它」。在他的眼中，佛洛伊德式的決定論，是變相的宿命論。❤️你的不幸，是自己「選」的！「你在人生中的某個階段選擇了『不幸』。不是因為你身在不幸的環境中，也不是因為你陷入不幸的狀況，是因為你判斷這種『不幸』對自己是一種『善』」「所有的不幸都是自找的！」這怎麼可能？「『不幸』對自己是一種『善』」，這更難理解了！只要是有理智的人，都會選擇幸福的生活啊！原來，阿德勒認為，只要重新選擇生活型態，人生就能改變。然而，人之所以無法改變，是因為自己不斷去決定，不改變自己的生活型態。究其原因，是因為維持現狀比較輕鬆，也比較安心。人之所以不幸，並不是過去過環境造成的，而是因為缺乏「變得幸福的勇氣」。無論你之前的人生，發生過什麼事，這些事情，對於將來要怎麼過，沒有任何的影響！因為，決定人生的是活在「當下」的自己。閱讀這部分時，我一直想到《與成功有約》中的第一個習慣～積極主動。也讓我聯想到一個故事，同樣是在貧民窟出生的雙胞胎，長大後，一個變成罪犯，一個變成富豪。光是這個例子，就足以證明，決定未來的不是過去，而是自己怎麼看待過去。❤️課題分離～擁有被討厭的勇氣「介入他人的課題，還有揹負他人的課題，會讓自己的人生變得沉重又辛苦。如果你的人生正面臨著苦惱，這樣的苦惱必然是來自於人際關係。所以首先，你必須清楚知道『從這裡開始，就不是我的課題了』，然後把他人的課題切割、捨棄。這就是讓人生卸下重擔、變得單純的第一步。」阿德勒認為，所有的煩惱都來自於人際關係。人們因為想要追求他人的認同，於是讓自己的自由和行為受限。到最後，讓自己過上的，就是別人的人生。從根本上來看，我們不應該為了滿足他人的期望而活。相同的，別人也不是為了滿足我們的期望而活的。這並不是要你不顧別人的感受，以自我為中心，而是要學會「課題分離」。正如同你可以把馬牽到河邊，但無法逼它喝水一樣。又如讀書是孩子的課題，應該由孩子自己來做。父母若是強迫孩子讀書，就是干涉了孩子的課題，於是就會產生衝突。此時，父母可能會說，自己是為了孩子著想，才要他們好好用功讀書的。但事實是，父母為了達到，讓自己有面子這個目的，才去逼迫孩子讀書的！但這也不是要父母完全不理孩子，而是父母只在孩子需要的時候，提供協助即可。我們若是學會，不去干涉別人的課題，就不會產生人際紛爭。至於要如何區別是誰的課題，方法就是想想：「這個決定帶來的結果，最後會由誰來承受？」。當你設法強迫他人改變，只會引起更強烈的反彈。因為，只有自己可以改變自己！這裡的論述，讓我想到前兩年，孩子進入小學後的狀態。當時，孩子有著嚴重拖延症，無論我再怎麼威脅逼迫，功課就是寫得又慢又醜，讓我感到身心俱疲！然而，在她進入三年級，換了導師之後，作業竟然寫得又快又好。究其原因，在於她自己想要改變。結論是，如果我們能夠做到課題分離，就不會在意別人的眼光，更不需要追求別人的認同，煩惱也就消失了！但要想做到這一點，進而獲得自由，就必須要擁有「被討厭的勇氣」。💕寫在最後「有人討厭你，那真是你心思自由、讓自己生活自在的證據，是依照自己的生活方針過日子的標記」什麼？多年以來，我心中所求的信念，就是不被別人討厭，難怪會感到自己，過得如此憋屈！原來，要有人討厭自己，才是活得自在的證據啊！正如書中所提到的，擁有「被討厭的勇氣」，不僅是對他人期待的放下，更是對自我的解放。透過改變自我對過去的解讀，我們可以重新選擇人生的方向，並勇敢地走出他人期待的框架。這樣的態度，使我們能更真實地生活，擁抱自己的獨特性，最終達到心靈的自由！讀懂阿德勒心理學之後，眼中的世界，會變得完全不一樣。就像近視多年的人，第一次戴上眼鏡後產生的震撼那樣。原本看不清楚的世界，突然變得鮮明又清晰！＃塔妮雅閱讀＃2025年第21本本文第一次刊登於 Readmoo閱讀最前線,2
https://www.books.com.tw/booksComment/memberComment/4ES1mb8hMU,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,4ES1mb8hMU,Lv.1,5,2025/03/21,剛好在一份工作結束時閱讀這本書。換個思考方向真的差很多。我的個性屬於盡可能與人相處融洽，不要做太絕。看了這本書重新問自己真正的想法，覺得豁然開朗。不是自己做得不好而被人討厭，是本來就有討厭你的人，無論你再好。還有最重要的是勇氣，其實面對任何事情，只要你有勇氣承擔未來可能發生的這個後果，其實沒有人能攔你。人們常常因為社會的框架導致自己為了符合社會期望綁手綁腳，甚至過了他人期望的人生。人生的每一個選擇，都需要勇氣承擔後果。我覺得即使被討厭，只要問心無愧就好，自己的人生只有自己能過。,1
https://www.books.com.tw/booksComment/memberComment/xxx5447763,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,流星迷,Lv.5,5,2025/03/06,這本書透過哲人與青年的對話，慢慢帶領讀者認識阿德勒心理學，書中舉的例子貼近日常生活，書寫的語氣溫和，平易近人,1
https://www.books.com.tw/booksComment/memberComment/xxx5447474,https://www.books.com.tw/csss/myacc/images/member-avatar-def.png,莉莉普特,Lv.5,4.5,2025/02/28,霸佔暢銷書排行榜第一很久的一本書，算是那幾年大家一起追循的心理導師。有點懷疑網紅經濟是在那之後大行其道的，不要求大家的喜歡只要求特立獨行獲得利益，是一種誤讀吧。科科。。,1
